title,price,link
Alemania Billete 1.000.000 Marcos 1923 Notgeld Ciudad AACHEN VF+,"$10,00",https://www.argcollectibles.com/producto/alemania-billete-1-000-000-marcos-1923-notgeld-ciudad-aachen-vf/
Argelia Billete 500 Dinars 1970 P-129 VF+,"$35,00",https://www.argcollectibles.com/producto/argelia-billete-500-dinars-1970-p-129-vf/
Zaire Billete 500 Nuevos Zaires 1994 P-63 UNC,"$2,00",https://www.argcollectibles.com/producto/zaire-billete-500-nuevos-zaires-1994-p-63-unc/
Rusia del Sur Billete 500 Rublos 1920 P-S-434 VF,"$10,00",https://www.argcollectibles.com/producto/rusia-del-sur-billete-500-rublos-1920-p-s-434-vf/
Rusia del Sur Billete 250 Rublos 1920 P-S-433 VF+,"$20,00",https://www.argcollectibles.com/producto/rusia-del-sur-billete-250-rublos-1920-p-s-433-vf/
Alemania Billete 2000 BN Giesecke & Devrient 2000 Test Note AU,"$20,00",https://www.argcollectibles.com/producto/alemania-billete-2000-bn-giesecke-devrient-2000-test-note-au/
Belgica Billete 20 Francos 1950 P-132a AU,"$25,00",https://www.argcollectibles.com/producto/belgica-billete-20-francos-1950-p-132a-au/
Belgica Billete 100 Francos 1959 P-129c XF+,"$30,00",https://www.argcollectibles.com/producto/belgica-billete-100-francos-1959-p-129c-xf/
Belgica Billete 100 Francos 1927 P-102 VF,"$35,00",https://www.argcollectibles.com/producto/belgica-billete-100-francos-1927-p-102-vf/
Belgica Billete 5 Francos 1927 P-97b XF,"$30,00",https://www.argcollectibles.com/producto/belgica-billete-5-francos-1927-p-97b-xf/
Bangladesh Billete 20 Taka 1984 P-27a UNC,"$8,00",https://www.argcollectibles.com/producto/bangladesh-billete-20-taka-1984-p-27a-unc/
China Billete 1 Dolar 1918 P-S-2401e F+,"$20,00",https://www.argcollectibles.com/producto/china-billete-1-dolar-1918-p-s-2401e-f/
Corea del Sur Billete 1.000 Won 1950 P-8 VF+,"$15,00",https://www.argcollectibles.com/producto/corea-del-sur-billete-1-000-won-1950-p-8-vf/
Corea del Sur Billete 100 Won 1965 P-38 VF+,"$10,00",https://www.argcollectibles.com/producto/corea-del-sur-billete-100-won-1965-p-38-vf/
Corea del Sur Billete 1.000 Won 1950 P-3 VF+,"$20,00",https://www.argcollectibles.com/producto/corea-del-sur-billete-1-000-won-1950-p-3-vf/
Dinamarca Billete 10 Kroner 1972 P-48a XF+,"$10,00",https://www.argcollectibles.com/producto/dinamarca-billete-10-kroner-1972-p-48a-xf/
Estonia Billete 10 Krooni 1992 P-72b UNC,"$10,00",https://www.argcollectibles.com/producto/estonia-billete-10-krooni-1992-p-72b-unc/
Estonia Billete 5 Krooni 1991 P-71a UNC,"$8,00",https://www.argcollectibles.com/producto/estonia-billete-5-krooni-1991-p-71a-unc/
Guinea Billete 500 Sylis 1980 P-27 AU,"$25,00",https://www.argcollectibles.com/producto/guinea-billete-500-sylis-1980-p-27-au/
Guinea Ecuatorial Billete 1.000 Bipkwele 1980 P-18 UNC,"$60,00",https://www.argcollectibles.com/producto/guinea-ecuatorial-billete-1-000-bipkwele-1980-p-18-unc/
Hungria Billete 10 Forint 1848 P-S-117 F+,"$35,00",https://www.argcollectibles.com/producto/hungria-billete-10-forint-1848-p-s-117-f/
Irlanda Billete 1 Pound 1982 P-70c UNC,"$30,00",https://www.argcollectibles.com/producto/irlanda-billete-1-pound-1982-p-70c-unc/
Mongolia Billete 5 Tugrik 1955 P-30 UNC,"$12,00",https://www.argcollectibles.com/producto/mongolia-billete-5-tugrik-1955-p-30-unc/
Sudafrica Billete 10 Rand 1978 P-120b XF,"$8,00",https://www.argcollectibles.com/producto/sudafrica-billete-10-rand-1978-p-120b-xf/
Tailandia Billete 100 Bath 2002 P-110 UNC,"$8,00",https://www.argcollectibles.com/producto/tailandia-billete-100-bath-2002-p-110-unc/
Djibouti Billete 20 Francos 1928 P-7 VF+,"$100,00",https://www.argcollectibles.com/producto/djibouti-billete-20-francos-1928-p-7-vf/
Este de Africa Billete 100 Liras 1938 P-2 F (Ocupacion Italiana),"$100,00",https://www.argcollectibles.com/producto/este-de-africa-billete-100-liras-1938-p-2-f-ocupacion-italiana/
Taiwan Billete 1 Yen 1915 P-1921 XF+,"$250,00",https://www.argcollectibles.com/producto/taiwan-billete-1-yen-1915-p-1921-xf/
Estados Unidos USA Billete 10 Centavos 1874 P-122b AU (Certificado),"$80,00",https://www.argcollectibles.com/producto/estados-unidos-usa-billete-10-centavos-1874-p-122b-au-certificado/
Francia Billete 50 Francos 1925 P-64g VF,"$80,00",https://www.argcollectibles.com/producto/francia-billete-50-francos-1925-p-64g-vf/
Paraguay Billete 10 Pesos Fuertes 1923 P-150/MC-182a AU (Moreschi-Jacquet),"$120,00",https://www.argcollectibles.com/producto/paraguay-billete-10-pesos-fuertes-1923-p-150-mc-182a-au-moreschi-jacquet/
Italia Billete 50 Liras 1911 Banco Di Napoli P-S-856 VF,"$150,00",https://www.argcollectibles.com/producto/italia-billete-50-liras-1911-banco-di-napoli-p-s-856-vf/
Italia Billete 100 Liras 1915 Banco Di Napoli P-S-857 VF,"$160,00",https://www.argcollectibles.com/producto/italia-billete-100-liras-1915-banco-di-napoli-p-s-857-vf/
Italia Billete 500 Liras 1919 Banco Di Napoli P-S-858 Poor,"$80,00",https://www.argcollectibles.com/producto/italia-billete-500-liras-1919-banco-di-napoli-p-s-858-poor/
Uruguay Billete 50 Centesimos 1940 Casa Pablo Ferrando (Cancelado),"$50,00",https://www.argcollectibles.com/producto/uruguay-billete-50-centesimos-1940-casa-pablo-ferrando-cancelado/
Italia Billete 50 Centesimos 1870 Toscana XF,"$50,00",https://www.argcollectibles.com/producto/italia-billete-50-centesimos-1870-toscana-xf/
Italia Billete 50 Centesimos 1872 Popolare Operaia VF,"$50,00",https://www.argcollectibles.com/producto/italia-billete-50-centesimos-1872-popolare-operaia-vf/
Peru Billete 20 Soles 1879 P-6 F,"$110,00",https://www.argcollectibles.com/producto/peru-billete-20-soles-1879-p-6-f-2/
Faroe Billete 10 Kronur 1974 P-18 AU,"$35,00",https://www.argcollectibles.com/producto/faroe-billete-10-kronur-1974-p-18-au/
Cuba Billete 5 Pesos 2017 P-FX-48 XF,"$8,00",https://www.argcollectibles.com/producto/cuba-billete-5-pesos-2017-p-fx-48-xf/
Suecia Billete 20 Kronor 1998 P-63a XF,"$3,00",https://www.argcollectibles.com/producto/suecia-billete-20-kronor-1998-p-63a-xf/
Cuba Billete 10 Pesos 2013 P-FX-49 VF+,"$8,00",https://www.argcollectibles.com/producto/cuba-billete-10-pesos-2013-p-fx-49-vf/
China Billete 10 Yen 1938 P-M26 VF- (Ocupacion Japonesa),"$10,00",https://www.argcollectibles.com/producto/china-billete-10-yen-1938-p-m26-vf-ocupacion-japonesa/
Ecuador Billete 20 Sucres 1976 P-110 UNC,"$20,00",https://www.argcollectibles.com/producto/ecuador-billete-20-sucres-1976-p-110-unc/
Japon Billete 1 Yen 1946 P-85 XF,"$3,00",https://www.argcollectibles.com/producto/japon-billete-1-yen-1946-p-85-xf/
Alemania Nazi Billete 10 Marcos 1944 P-M40 UNC (Pago Militar),"$15,00",https://www.argcollectibles.com/producto/alemania-nazi-billete-10-marcos-1944-p-m40-unc-pago-militar/
Polonia Billete 100 Marek 1979 P-17N UNC (60 Aniversario Marek) (Reproduccion),"$50,00",https://www.argcollectibles.com/producto/polonia-billete-100-marek-1979-p-17n-unc-60-aniversario-marek-reproduccion/
Grecia Billete 500 Dracmas 1932 P-102 F+,"$8,00",https://www.argcollectibles.com/producto/grecia-billete-500-dracmas-1932-p-102-f/
Alemania Billete 2 Marcos 1920 P-60 AU,"$4,00",https://www.argcollectibles.com/producto/alemania-billete-2-marcos-1920-p-60-au/
Alemania(Nazi) Billete 2 Marcos 1937 P-174b UNC,"$6,00",https://www.argcollectibles.com/producto/alemanianazi-billete-2-marcos-1937-p-174b-unc/
Uruguay Billete 50.000 Nuevos Pesos 1991 P-70b XF+,"$8,00",https://www.argcollectibles.com/producto/uruguay-billete-50-000-nuevos-pesos-1991-p-70b-xf/
Uruguay Billete 20.000 Nuevos Pesos 1991 P-69 XF+,"$6,00",https://www.argcollectibles.com/producto/uruguay-billete-20-000-nuevos-pesos-1991-p-69-xf/
