id,Country,Status,War,DenomValue,DenomUnit,Year,Century,Condition,ExtraTags,Price
CUB_1959_323f255baf4b1626a7023a370ad0e683,Cuba,Existent,False,1.0,Peso,1959,XX,UNC,,20.0
CUB_1970_351dcd4c938217cb08a299bfb4f3a2e0,Cuba,Existent,False,1.0,Peso,1970,XX,UNC,,20.0
CUB_1980_c8eb71cdabc36956a6f127463c29abd4,Cuba,Existent,False,5.0,Centavo,1980,XX,AU,,5.0
CUB_1980_5a4da1bca0eba99e4ee1c544dcf610dd,Cuba,Existent,False,50.0,Centavo,1980,XX,AU,,5.0
CUB_1980_f88ed46593fe6c2aebafa5f19b2a6459,Cuba,Existent,False,20.0,Centavo,1980,XX,AU,,5.0
CUB_1980_82128db2239f25e33b23d252a3ea4ff9,Cuba,Existent,False,1.0,Peso,1980,XX,AU,Roto,3.0
CUB_1958_32e658879a2acf55a1505fdbe6775a7a,Cuba,Existent,False,2.0,Peso,1958,XX,UNC,,15.0
CUB_1958_a281c75362b0c4c161eb6a03087337a7,Cuba,Existent,False,10.0,Peso,1958,XX,UNC,,50.0
CUB_1958_e21aa4bb2d2996b59fe1f4b4ee96ef53,Cuba,Existent,False,1.0,Peso,1958,XX,F,,10.0
CUB_1957_f5e6e33394deb52887005bc226fedc4f,Cuba,Existent,False,1.0,Peso,1957,XX,UNC,,12.0
CUB_1957_df9999d61392ac3b3b401e5a64231bfa,Cuba,Existent,False,5.0,Peso,1957,XX,AU,,20.0
CUB_1957_52e49e6979e6caac4e507813a778ebae,Cuba,Existent,False,10.0,Peso,1957,XX,UNC,,30.0
CUB_1957_57feec15b274578ab39c70ce66ad374c,Cuba,Existent,False,100.0,Peso,1957,XX,XF,,80.0
CUB_1958_1e80a4565e6028226a3f7b56c0f63740,Cuba,Existent,False,2.0,Peso,1958,XX,UNC,,30.0
CUB_1958_a5f5e96944804573ab200190524e9a77,Cuba,Existent,False,10.0,Peso,1958,XX,F,,20.0
CUB_1958_c83509595904ff8c883ccac487308015,Cuba,Existent,False,3.0,Peso,1958,XX,VF,,20.0
CUB_1980_87eaee001d71563dbd44e9137ab4a348,Cuba,Existent,False,,Unknown,1980,XX,AU,,20.0
TON_2009_5d70ab5a2ba28091c3d9e6e8fdf5934b,Tonga,Existent,False,5.0,Paanga,2009,XXI,UNC,,10.0
